testId,11,12,13,14,15,16,17,18,19,110,111,112,113,114,115,116,timeSpent,uid
72774,6,2,4,2,4,2,6,5,5,4,3,4,4,4,4,6,163,6474e531b61d1c298665
72942,2,1,6,2,5,3,2,6,3,6,2,1,3,5,5,3,88,93b6faa838da6855f121
73076,3,2,4,1,5,1,3,5,2,3,1,1,1,1,2,1,104,c1afcee8400833039143
73106,4,3,6,5,6,5,4,7,5,7,7,6,4,5,5,5,98,15f381981648890bd162
73172,3,1,4,1,5,3,4,5,5,6,3,1,2,3,3,4,129,7c1013224b65a081d974
73178,3,2,6,5,2,4,5,5,5,5,5,4,5,5,7,4,90,a7927a93b0ac95b336ba
73204,6,5,4,4,6,3,4,6,7,4,4,2,6,2,5,4,246,4f7a4c1aee42e5c8e8b5
73226,4,1,1,1,5,3,3,4,4,2,1,2,4,6,6,5,126,de2401f0e4e17d0c644d
73231,2,2,5,4,5,3,6,5,4,5,5,3,3,5,6,4,871,a7b847156dc7f6c498b2
73286,3,2,4,2,4,2,1,7,5,5,6,2,3,5,5,3,90,750a4a00ffcbe67e5db7
73417,4,2,5,3,4,3,7,6,7,5,5,6,5,3,1,4,129,4a1f0fa3dcffd49aab23
73455,3,1,2,2,3,2,2,4,4,6,2,4,4,6,4,5,190,0633627066210afdb584
73137,3,1,2,5,7,6,7,7,7,4,3,6,6,7,7,7,187,93f6efd5189bc2f27b54
73552,6,1,2,1,2,2,2,5,4,7,3,2,2,5,5,4,85,c0607cf2293dbe01d3ed
73688,5,5,5,3,3,3,7,3,3,5,3,5,7,4,5,3,148,db20122421b453063c33
73717,5,4,5,6,7,5,5,5,4,5,5,5,4,5,5,7,132,b54bba93647f4d149a6e
73736,4,2,5,3,4,3,6,6,5,5,4,3,4,7,7,7,192,9bba2b2565c516624bb7
73739,3,2,5,3,3,3,6,3,5,2,5,5,4,6,4,2,133,b4211abe38812cefe995
73862,1,1,2,6,7,7,2,7,7,6,7,7,7,7,7,7,72,b268bbe24a659fd07775
73870,3,3,2,1,5,2,4,3,4,6,4,3,5,6,3,3,68,643505aca0cda16756c0
73879,2,2,3,2,5,4,3,5,4,5,3,5,4,6,4,5,95,f07b8833c6b68a83671e
73899,5,4,4,1,5,3,5,6,6,4,2,3,2,5,2,3,109,4a6669d76845a4771177
73943,3,2,2,3,6,5,4,4,5,5,4,5,4,5,5,5,140,5e9bd9fa0e2b2c1d65c5
73982,6,3,3,2,5,2,5,5,5,4,5,3,3,4,6,3,101,73a428ea8827ffb7687a
74173,6,3,6,2,6,6,6,6,6,4,4,6,3,6,7,6,298,ca753b78bbc287d3182a
74251,1,1,1,1,2,1,2,5,3,4,3,3,1,4,2,3,89,05238f2783ad2e582169
74306,3,3,6,2,5,2,7,6,5,7,2,6,1,7,5,5,103,c55a7b25f359bd7a761a
74323,3,3,3,3,3,3,5,5,3,6,5,3,3,5,6,2,93,f65088d40423b5e72324
74338,3,5,6,3,3,6,2,6,4,3,5,2,2,4,6,3,115,8fd25c404514739d06a9
74362,5,4,7,2,4,5,6,5,5,4,4,3,5,4,4,3,74,8b96b2eba790c5478648
74402,5,4,4,4,5,3,4,5,5,4,5,5,5,5,5,5,120,2fd0565646dd07ba3b6b
74419,5,4,4,5,6,4,4,5,5,4,4,5,5,5,5,6,84,9e1637cb998028362c33
74440,4,3,3,2,3,2,2,3,3,2,3,3,2,2,2,2,76,cecb2c359d12ef875358
74489,6,5,7,7,6,5,6,6,7,2,5,7,7,7,2,7,115,6797882cfcd474fc1d83
74496,4,5,4,5,3,5,2,4,5,5,5,4,6,5,6,3,48,6797882cfcd474fc1d83
74511,3,3,3,3,3,3,5,5,5,2,2,6,5,5,4,3,131,73486734f84ad4dd4dcc
74545,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,73,eb2033b5b60cb5e68996
74557,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,56fe86e4d1363e1a38f2
74573,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,f497a6ec862298a5f6ca
74642,5,6,5,7,6,2,7,7,5,5,6,1,3,6,7,5,284,c300685fc71fe479eb9d
74680,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,48,870d821c575fb4d6fa3e
74758,,2,5,1,2,2,6,5,5,5,3,5,3,7,6,3,84,35823aa38de2efb9c97a
74764,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,32,d5c963799e15fb2b6b32
73720,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,85,8da30b1ecf285ec0fe17
74774,3,5,5,5,3,6,3,3,2,5,3,2,1,2,2,1,237,4233181fc4c9bc696970
73768,4,4,3,4,4,3,4,4,5,5,4,4,5,4,5,5,59,8da30b1ecf285ec0fe17
74790,1,1,1,1,4,4,1,7,4,1,1,1,5,3,5,1,864,4e4d8bb4d36136905a42
74870,1,1,1,1,1,1,1,1,2,4,2,1,1,2,2,1,114,d1b535497b9a5050b5d4
73934,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,84,52790d7e8f7efaacd519
