gameid,person,condition,avg_user_choices,avg_bot_choices,gender,age,device
83417,62a4d6aa591f21e25188,leanCommons,0.40000000000000002,0.40000000000000002,,,
83420,d1834fe953be51bad18a,barn,0.69999999999999996,0.55000000000000004,,,
83422,c6e7ee151fa499f6bf5b,leanCommons,0.80000000000000004,0.69999999999999996,,,
83423,ec861fe207efc519c0cf,leanCommons,0.90000000000000002,0.69999999999999996,,,
83424,febca8988b92f2a7b550,barn,0.40000000000000002,0.45000000000000001,,,
83427,adff1da6655b1946085d,leanCommons,0.80000000000000004,0.45000000000000001,,,
83432,51e793d0ce91f799e489,barn,0.20000000000000001,0.59999999999999998,,,
83442,9cec1b377fa56a1244b7,commons,1.0,0.45000000000000001,,,
83451,e5153c022941bf3bb47b,leanCommons,0.5,0.65000000000000002,,,
83461,74c78a8a6ad6cdbe261c,barn,1.0,0.59999999999999998,,,
83463,9561fe706427636c52a1,barn,0.0,0.59999999999999998,,,
83469,7057a72127b4adb7de12,barn,0.0,0.40000000000000002,,,
83482,d52caaeb2c6074d2023b,barn,0.0,0.40000000000000002,,,
83487,3dc846b9c4840f41b708,leanBarn,0.40000000000000002,0.45000000000000001,,,
83489,f18aee4513e7cd8e826f,barn,0.0,0.65000000000000002,,,
83491,546755a3e44fe39a7edd,commons,1.0,0.29999999999999999,,,
83495,158ce20cb35ad22a8cd6,commons,0.59999999999999998,0.5,,,
83505,0e19d4b711cc25dd3d0f,commons,0.80000000000000004,0.40000000000000002,,,
83513,198f6a0bff5bc845871c,commons,0.5,0.45000000000000001,,,
83528,35eba78e19dafc30640d,barn,0.0,0.65000000000000002,,,
83531,9e415dd6a9878791a3a0,leanBarn,0.29999999999999999,0.65000000000000002,,,
83532,d4186e5418030aa65617,leanCommons,1.0,0.25,,,
83537,caff1779fc11c3e92947,barn,0.40000000000000002,0.25,,,
83538,b178da766fb6b6e816fa,barn,0.40000000000000002,0.59999999999999998,,,
83546,e2ea215b316c208613a5,leanBarn,0.5,0.40000000000000002,,,
83551,e2824cbbcb122f50e3cc,leanCommons,0.59999999999999998,0.59999999999999998,,,
83567,65a4a0235aed396ad20b,leanBarn,1.0,0.59999999999999998,,,
83568,3504dec6d75e39500c22,commons,0.69999999999999996,0.45000000000000001,,,
83571,7001031e61043b548532,leanCommons,0.59999999999999998,0.59999999999999998,,,
