testId,21,22,23,24,25,26,5,6,7,8,91,92,93,94,95,96,timeSpent,uid,ineligible
72255,,1,1,,1,1,,,,1,,1,1,,1,1,128,425dbabc24091907d6e6,0
72265,,,,,,1,,,,1,,,,,,1,137,113ab1b827a64a9ca403,0
72277,,,,,,1,1,,,,,,,,,1,97,6eacf51fb8ae2bf0fbef,0
72391,,1,1,,1,,,,1,,1,,,1,,,224,254ec965da30af0efda9,0
72421,,1,1,,1,1,,1,,,,1,1,,1,1,182,779720a86a20d8028fb8,0
72424,,,,,,1,,1,,,,1,,,,1,144,5da55ab384ed97d7ff94,0
72495,,1,1,,1,1,,,,1,,1,,,1,1,285,2645a9001ebbca58e748,0
72765,,,,,,1,,,,1,,,,,1,1,258,6474e531b61d1c298665,0
72981,,1,1,,1,1,,,1,,,1,1,,1,1,177,abe6fed0b1c29b35e5c2,0
72994,,1,,,,,,,,1,1,,,,,,114,b11b126565fed4014814,0
72634,,,,,,1,,1,,,,,1,,,1,177,5496ee6c5e1179fb7f8f,0
72948,,1,1,1,1,1,,,1,,,,,,,,78,93b6faa838da6855f121,0
73333,,1,1,,1,,,1,,,,,1,,1,1,206,a7218a5bd8f15b676e62,0
73555,,,,,,1,,,,1,,,1,,1,1,106,c0607cf2293dbe01d3ed,0
73627,,,,1,,1,,,,1,,,1,,,1,172,ff9e5b850516078820ae,0
73629,,,1,,,1,,,1,,,1,1,,,1,75,ff9e5b850516078820ae,1
73649,,1,,,,1,,,,1,,,,,1,1,118,9482e3a34cf39290189f,0
73737,,1,1,,1,1,,,,1,,1,1,,1,1,185,b54bba93647f4d149a6e,0
73744,,1,1,,1,1,1,,,,,1,1,,1,1,160,b4211abe38812cefe995,0
73845,,1,,,1,1,,1,,,,1,,,,1,76,b268bbe24a659fd07775,0
73876,,,,,,1,,,,1,,,1,1,1,1,93,643505aca0cda16756c0,0
73887,,,1,,1,1,,1,,,,,1,,1,1,85,f07b8833c6b68a83671e,0
73913,,,,1,,1,,1,,,,,1,,1,1,110,4a6669d76845a4771177,0
73920,,,,1,,1,,,1,,,,,,,1,97,d5c963799e15fb2b6b32,0
73944,,1,1,,1,1,1,,,,,1,1,,1,1,100,5e9bd9fa0e2b2c1d65c5,0
73986,1,,,,1,,,1,,,,1,,,,,118,73a428ea8827ffb7687a,0
73418,,,,,,,,,,,,,,,,,21,4a1f0fa3dcffd49aab23,1
73493,,,1,,1,1,,,1,,,1,1,,1,1,977,77069c60f8d57e2232c1,0
73770,,,,,,1,,,,,,,,,,,50,8da30b1ecf285ec0fe17,1
77626,,1,1,,1,1,1,,,,,1,1,,1,1,80,7bd53527331361fcdde9,0
77638,,,,,,1,,,1,,,,,,1,1,93,1b5d2c00395744fd5521,0
77646,,,1,,1,1,,1,,,,,1,,1,1,46,1b5d2c00395744fd5521,1
77658,,,1,1,,1,1,,,,,1,1,,,1,103,55f660a87f5bb7a72743,0
77679,,1,1,1,1,1,,1,,,,1,1,1,,1,116,1a7ce6b39b141127d5fe,0
77682,,1,1,1,1,1,1,,,,,1,1,,1,1,66,1a7ce6b39b141127d5fe,1
77702,,,,,,1,,,,1,,,,,,1,83,ac1856e16b24e85fb4c3,0
77712,,,,,,1,,,1,,,,,,,1,74,09ae670f8131c3753a7b,0
77718,,,,,,1,,,1,,,,,,,1,81,09ae670f8131c3753a7b,1
77726,,,,,,,,,,1,,,,,,1,67,09ae670f8131c3753a7b,1
77731,,1,,,,1,,1,,,,,,,,1,118,aa3b0013d4a833374eb0,0
77835,,,,,,1,,,,1,,,,,,1,87,9f1d30bab7b34996372b,0
77836,,1,1,,1,1,,,,1,,1,1,,1,1,112,f53d421fc139778687b9,0
77848,,1,1,,1,1,,,,1,,1,1,,1,1,47,f53d421fc139778687b9,1
77850,,1,1,,1,,,,,1,,1,1,,,1,81,21e098f4a89531cb3893,0
77861,,,1,,1,1,1,,,,,,1,,1,1,57,21e098f4a89531cb3893,1
77898,,,,,,1,,,,1,,,,,,1,208,4cf7006d70c72e2eafef,0
77927,,,1,,1,1,,,1,,,1,1,,1,1,131,144384d690abccfb5437,0
77961,,1,,,,1,,,,1,,1,,,,1,105,97ad77b818216e3a10d0,0
77969,,1,1,,1,1,1,,,,,1,1,,1,1,131,6941cbbad56e6371daf3,0
78020,,1,1,,1,1,,1,,,,1,1,,1,1,76,144384d690abccfb5437,1
78056,,1,1,,1,1,,,1,,,1,1,,1,1,132,66c71dedc4a7a17226a0,0
78084,,,,,,1,1,,,,,,,,,,61,a325d1e171f2c6f2b01e,1
78125,,1,1,,1,1,1,,,,,1,1,,1,1,108,6106eca228f0c1a5d7e1,0
78202,,,,,,1,,,1,,,1,,,,1,121,ea11538b2cac3118d30d,0
78226,,,,,,1,1,,,,,1,1,,1,1,88,5fe00c2a37d32ce8ae77,0
78231,,,1,,1,1,,1,,,,,,,,1,77,be0372abb9ed5e25665d,0
78255,,,,,,1,,,1,,,1,1,,1,1,116,1b141272be5878f8ca57,0
78361,,1,1,,1,1,,,,1,,,1,,1,1,110,d5ab19f1de7ae62973a9,0
78422,,,,,,1,,,,1,,,1,,1,1,86,1bd4d6853f4709dcd535,0
78429,,1,1,,1,1,1,,,,,1,1,,1,1,120,84440b6e2f7300a5b464,0
78435,,,,,1,,1,,,,,,,,1,,104,770e8a9799d756bc4bd2,0
78544,,,1,,1,1,1,,,,,,1,,1,1,118,76e2e7eabc164192aa7f,0
78558,,,1,,,,,,,1,,,1,,1,1,73,5c761f5779f2b6ff77e3,0
78600,,1,1,,1,1,,,1,,,1,1,,1,1,97,7b9a1acea6643e7f6ce0,0
78601,,1,1,,1,1,,,1,,,1,1,,1,1,109,1f6536fa86ccda3af638,0
