testId,12,4,timeSpent,uid,chain
72767,1,,98,6474e531b61d1c298665,383
72939,,1,49,93b6faa838da6855f121,258
73073,,1,56,c1afcee8400833039143,389
73080,,1,8,c1afcee8400833039143,
73103,1,,55,15f381981648890bd162,124
73134,,1,60,93f6efd5189bc2f27b54,50
73169,1,,63,7c1013224b65a081d974,118
73175,,1,60,a7927a93b0ac95b336ba,287
73201,1,,85,4f7a4c1aee42e5c8e8b5,48
73223,1,,12,de2401f0e4e17d0c644d,
73228,,1,68,a7b847156dc7f6c498b2,2
73283,,1,42,750a4a00ffcbe67e5db7,140
73413,1,,7,4a1f0fa3dcffd49aab23,259
73452,,1,65,0633627066210afdb584,353
73546,1,,44,c0607cf2293dbe01d3ed,172
73214,,,11,de2401f0e4e17d0c644d,
73685,,1,34,db20122421b453063c33,132
73707,,1,51,b54bba93647f4d149a6e,66
73709,1,,33,8da30b1ecf285ec0fe17,15
73728,,1,103,9bba2b2565c516624bb7,464
73732,,1,78,b4211abe38812cefe995,204
73762,1,,16,8da30b1ecf285ec0fe17,
73859,,1,10,b268bbe24a659fd07775,189
73867,1,,33,643505aca0cda16756c0,164
73872,1,,28,f07b8833c6b68a83671e,364
73896,,1,49,4a6669d76845a4771177,444
73925,,1,42,d5c963799e15fb2b6b32,
73931,1,,11,52790d7e8f7efaacd519,27
73940,1,,76,5e9bd9fa0e2b2c1d65c5,219
73978,1,,48,73a428ea8827ffb7687a,77
74088,,1,110,cc97d375004b0cf31e18,
74092,,1,17,cc97d375004b0cf31e18,
74170,,1,33,ca753b78bbc287d3182a,432
74247,,1,38,05238f2783ad2e582169,267
74303,,1,52,c55a7b25f359bd7a761a,358
74319,1,,48,f65088d40423b5e72324,151
74335,1,,59,8fd25c404514739d06a9,62
74359,,1,10,8b96b2eba790c5478648,226
74398,,1,11,2fd0565646dd07ba3b6b,75
74416,,1,74,9e1637cb998028362c33,17
74431,,1,18,9e1637cb998028362c33,
74435,1,,57,cecb2c359d12ef875358,350
74447,,1,13,cecb2c359d12ef875358,
74484,1,,60,6797882cfcd474fc1d83,417
74493,,1,18,6797882cfcd474fc1d83,
74505,1,,51,73486734f84ad4dd4dcc,399
74526,1,,597,eb2033b5b60cb5e68996,0
74549,1,,49,56fe86e4d1363e1a38f2,
74570,,1,12,f497a6ec862298a5f6ca,437
74633,,1,12,0ccaaf0630349918a644,265
74637,1,,130,c300685fc71fe479eb9d,96
74676,,1,66,870d821c575fb4d6fa3e,425
74754,,1,48,35823aa38de2efb9c97a,357
74761,1,,48,d5c963799e15fb2b6b32,
74770,,1,169,4233181fc4c9bc696970,
74787,1,,71,4e4d8bb4d36136905a42,388
74791,1,,11,4e4d8bb4d36136905a42,
73908,,,1,4a6669d76845a4771177,
74867,1,,57,d1b535497b9a5050b5d4,209
74927,,1,51,85f13660defe7b3cd695,320
74942,1,,41,c1fe874d181f0efbf20f,195
74945,,1,56,d30ddd5e85bfb0829df1,426
75016,,1,43,53bc695ffa787aa6895a,206
75027,,1,38,87c2d87f862277ec63ed,240
75039,,1,62,56c0491c6da4efc849d4,129
75072,,1,65,f9d4f384038d1cb93102,435
75076,1,,60,f2a843ded7ba20973016,
75081,,1,12,f2a843ded7ba20973016,
75091,,1,8,56c0491c6da4efc849d4,
75120,1,,67,c3ab7162adad35d4aa07,171
75130,1,,15,be0372abb9ed5e25665d,
75140,1,,47,09ae670f8131c3753a7b,14
75151,1,,77,5bf1e455cb8b3cbeecba,339
75163,1,,61,36807386ae0203d7dfc7,49
75202,1,,8,5bf1e455cb8b3cbeecba,
75203,1,,7,ead2b11bd032e2918e37,90
75216,1,,104,5334bfda9b005199e6e7,381
75217,,1,62,9a3cb0840cbcf53b2f80,181
75228,1,,6,9a3cb0840cbcf53b2f80,
75234,1,,6,9a3cb0840cbcf53b2f80,
75247,,1,12,9a3cb0840cbcf53b2f80,
75246,1,,128,65cb0a0fa4fa3149cf5f,231
75252,1,,77,f815a67fb86dd763caa3,225
75269,,1,7,f815a67fb86dd763caa3,
75286,1,,63,42b29c26e3334f399ebe,51
75296,,1,6,42b29c26e3334f399ebe,
75306,1,,12,42b29c26e3334f399ebe,
75323,1,,35,6fd8f0cb386475ca4ba8,282
75336,,1,62,cc6aabf754bc22f46e51,438
75375,,1,48,b3ed7f77d1b66a3f04af,434
75384,,1,55,6c234c2dead813516ba9,13
75543,1,,51,ee1373a94cb46faac1ea,73
75545,1,,64,58ece1cb7b46e47d596e,328
75600,,1,84,aa10df71b77f6b514e4c,342
75638,,1,24,13adbcc10d817ed436a8,
75656,1,,62,ddb6e7718ea45e81659a,312
75680,1,,82,587948a5b0b2a93682a7,440
75701,,1,59,9d8203f1c2ad30aff23a,54
75736,1,,8,42b29c26e3334f399ebe,
75756,1,,13,9d8203f1c2ad30aff23a,
75789,1,,14,31b2166a326e240bd580,245
75807,1,,110,42a5632220af4bd4bb19,270
75815,1,,6,42a5632220af4bd4bb19,
75820,,1,58,1aaea11b41e98781beac,413
75826,,1,69,b2ee7db560ccfcf447c9,201
75867,1,,84,84a27da702578c2bd0a8,121
75874,,1,12,84a27da702578c2bd0a8,
75890,1,,81,874134aa04969e87e937,310
75905,1,,51,234b66a5a7604b6f6d13,238
75915,1,,78,9a2cae841e673241e75a,29
75948,1,,90,ef1aa9e17ce5c8082318,9
75955,1,,18,ef1aa9e17ce5c8082318,
74317,,,13,b4211abe38812cefe995,
75970,,1,11,84a27da702578c2bd0a8,
75981,1,,12,ef1aa9e17ce5c8082318,
75988,,1,9,ef1aa9e17ce5c8082318,
75994,1,,54,b43d13df4381f493a9cf,154
75993,1,,72,77d9e1cd9d8fe73d581e,397
76018,,1,133,d8c03b5f9344a94f5ec1,356
76040,,1,93,14bdbae34d6ec9f06690,139
76061,1,,64,d0b66c2306c3bb6e5006,147
76075,1,,135,ea11538b2cac3118d30d,256
76107,1,,56,7eb323ea031421a39de1,191
76161,1,,44,4a59e94da1bb62688a38,337
76172,1,,5,4a59e94da1bb62688a38,
76189,,1,50,95c39a9ec40e7000150c,242
76193,,1,14,13adbcc10d817ed436a8,
76200,,1,45,5b4bb1674e9a93f9c292,
76202,1,,6,5b4bb1674e9a93f9c292,
76213,,1,23,525b589be1c8a48d0bf7,367
76251,,1,93,5827e018889a09e1dc77,214
76285,,1,22,1f42859346bedeea731e,253
76321,,1,8,14bdbae34d6ec9f06690,
76341,1,,64,ccfd1b75ee5ec340025b,74
76348,1,,49,d035447ad3930eb3b4de,336
76356,1,,8,d035447ad3930eb3b4de,
76380,,1,34,1a9a031275bc5fc5bb1a,102
74548,,,14,56fe86e4d1363e1a38f2,
76403,,1,80,bf3539d1e78455f6a8f5,94
76416,1,,126,c42afd94f270536e6755,88
76421,,1,53,2c4a89fb60b57853a641,369
76439,1,,11,bf3539d1e78455f6a8f5,
76452,1,,88,8d4ee94f78ea59222e64,188
76455,1,,52,b0351ab8f2d74e86b984,150
76474,,1,8,2c4a89fb60b57853a641,
76494,,1,5,b0351ab8f2d74e86b984,
76505,,1,77,5e27db0c89831293ee56,106
76522,,1,67,6c42a102281774f385a8,326
76529,1,,9,6c42a102281774f385a8,
76542,,1,11,6c42a102281774f385a8,
76577,,1,75,a99b8974f7256b5b6913,161
76585,1,,15,a99b8974f7256b5b6913,
76589,,1,72,6802b179c34e31ca8e0b,141
76604,1,,57,30650e5765484a4f0e3b,125
76614,1,,13,30650e5765484a4f0e3b,
76620,,1,12,6802b179c34e31ca8e0b,
76636,,1,58,f6e1d4193a982047d73d,185
76672,,1,53,35a787df7dfaf71bbc49,400
76680,,1,11,f2a843ded7ba20973016,
76683,,1,9,f2a843ded7ba20973016,
76689,1,,89,3223005d463c66742ea5,134
74769,,,17,4233181fc4c9bc696970,
76720,1,,29,5d517f1fc1564dc99467,
76725,1,,66,b18cf6748458ad3f1a80,57
76761,,1,82,4f61e24143a464b0c45d,212
76774,1,,85,3267e30c63b4bd1c2205,
76779,1,,20,5334bfda9b005199e6e7,
76776,1,,148,34ce0a603e1711fb102e,213
76794,1,,63,1a28cd9554d220660198,22
76796,1,,98,9e63c2958f007932e60a,197
76887,1,,67,d2167b5c0c64d8bfa3fe,
76895,,1,35,d8b678c47becfde9e27e,329
76918,,1,27,9b471c48044e5fd1a9ba,288
76956,1,,12,5d517f1fc1564dc99467,
76994,,1,86,d14bbfd4e0e8d80b7597,44
77008,1,,48,11c1a5026e72d8d23d85,457
77011,1,,10,96e9c7818ede1184f1c1,278
77038,1,,112,0d28d56f61c73c16adcd,
77041,,1,15,0d28d56f61c73c16adcd,
77044,1,,56,d6568fa257773670f862,345
77045,1,,137,9941a2d9d678b692e6b2,279
77073,1,,22,dd26f2ed6a0afb061b89,99
77078,1,,58,cc6aabf754bc22f46e51,
77128,,1,29,cc6aabf754bc22f46e51,
77170,1,,53,90209274d105bb1e5d57,220
77199,,1,46,87dd178f50df8ec51768,379
77200,,1,61,d8dca71fd6874637ff0d,392
77212,1,,82,9f1d30bab7b34996372b,31
77230,,1,42,f2c7ffebaa7d9250d0dc,174
77256,,1,71,a134875e108a7808fb8e,257
77263,1,,87,07766a2eacd70f5f4547,378
77270,,1,8,17ffb86c2218f3df5db7,
77284,,1,10,a134875e108a7808fb8e,
77293,,1,80,635a4f6658e98eecdb0b,
77300,1,,5,635a4f6658e98eecdb0b,
77310,,1,61,5dc4d56473e4ac53b868,227
77326,,1,5,5dc4d56473e4ac53b868,
77334,1,,75,17ffb86c2218f3df5db7,
77342,1,,42,2df2928ecb1c98cb426e,346
77350,,1,13,3267e30c63b4bd1c2205,
77366,,1,14,bc4c7c2986ecfb62d63d,93
77384,,1,48,9a986552fba9efccab08,449
77387,,1,65,46b5321fcd45ef46a8e5,113
77395,,1,7,9a986552fba9efccab08,
77413,1,,22,e3a69cbdcbd2701dc00b,
77414,,1,75,7b372b86c39f3270514a,447
77427,,1,6,9a986552fba9efccab08,
77438,,1,12,9a986552fba9efccab08,
77446,1,,31,1f42859346bedeea731e,
77449,,1,83,16423a5dec5862f4b63c,340
77460,,1,5,9a986552fba9efccab08,
77484,,1,30,9a986552fba9efccab08,
77491,,1,6,9a986552fba9efccab08,
77494,,1,8,9a986552fba9efccab08,
77495,,1,4,7b372b86c39f3270514a,
77503,,1,9,9a986552fba9efccab08,
77514,1,,5,9a986552fba9efccab08,
77525,,1,10,9a986552fba9efccab08,
77533,,1,63,144384d690abccfb5437,196
77612,,1,33,7bd53527331361fcdde9,281
77630,,1,51,55f660a87f5bb7a72743,
77635,1,,4,55f660a87f5bb7a72743,
77640,,1,52,aa3b0013d4a833374eb0,43
77657,,1,48,1a7ce6b39b141127d5fe,84
77688,,1,79,21d7802f331a70abf592,67
77687,1,,167,1b5d2c00395744fd5521,
77711,,1,11,aa3b0013d4a833374eb0,
77719,1,,57,92bc4acb5f4bc5b74610,441
77730,,1,43,1a7ce6b39b141127d5fe,
77787,,1,55,55f660a87f5bb7a72743,
77803,,1,60,6d909acdb9f977627151,78
77879,1,,45,e24cfdc567e3ee409b14,26
77914,,1,7,bc4c7c2986ecfb62d63d,
77945,1,,55,73ba24a6f036ec52b949,332
78054,1,,230,541ecc0ab243e171ea5d,175
78090,1,,75,6106eca228f0c1a5d7e1,108
78158,,1,62,ea11538b2cac3118d30d,
78170,1,,8,be0372abb9ed5e25665d,
78145,,1,320,5375ba34a000434d01c1,298
78185,,1,47,8e9107a26147a2280b8d,427
78154,,1,380,946098a84e25fd32c34d,85
78205,,1,12,37ac3b3fbb8220ccb7a5,
78234,,1,34,37ac3b3fbb8220ccb7a5,
78254,1,,10,a6a89a429fb5deb60143,385
78364,,1,47,09b2eb5a2b814ed9aa82,396
78378,1,,54,2d0d3753356c5a3a8225,19
78388,1,,68,770e8a9799d756bc4bd2,233
78450,,1,40,f9d26be55da1de63ab45,308
78480,1,,7,42b29c26e3334f399ebe,
78493,,1,7,f9d26be55da1de63ab45,
78550,,1,57,7b9a1acea6643e7f6ce0,311
78637,1,,71,bea1580c121fc9ce0b90,305
78729,,1,81,a0bb435060aff4c0c3f6,208
78778,1,,86,b69b4a5799e20fac1dfa,409
78821,,1,36,435a3301770d6bb405d5,370
78874,,1,181,37ac3b3fbb8220ccb7a5,
78922,,1,60,210074e0433dc17c5933,460
78998,,1,9,e58207dfe55018de4220,76
79062,,1,39,c69190c1c16f2d223f4d,
79172,,1,61,959ad05d055cd42dc107,166
79187,1,,60,5fcd935bc6d3fb75ee41,61
79191,,1,46,78859706823ae662a078,373
79308,1,,91,a4d488de676ae54cd0be,
79349,1,,39,fdb0f65eb21bbba0b592,4
79366,1,,6,17ffb86c2218f3df5db7,
79402,1,,17,a4d488de676ae54cd0be,
79407,,1,19,a4d488de676ae54cd0be,
79404,1,,44,4a1482533941026c22c1,442
79411,1,,10,a4d488de676ae54cd0be,
79397,1,,150,7f369d0a41519afab2be,443
79421,1,,90,07b58659ee0bf9bb6589,254
79461,1,,35,aa913018a9a7bad95d58,97
79515,1,,65,f343be8474dbc8ada506,411
79523,,1,68,925b3673a6e9308d89c3,239
79547,,1,25,3698630db512e9f51682,
79555,,1,10,aa913018a9a7bad95d58,
79568,,1,8,3698630db512e9f51682,
79729,,1,6,16423a5dec5862f4b63c,
79736,1,,25,16423a5dec5862f4b63c,
79732,,1,37,e724f9fdfc75a0e56bdf,104
79823,,1,10,3698630db512e9f51682,
79870,,1,27,76845e777904bf4892e7,
79890,1,,11,c168fc19291373193761,3
79901,1,,49,08b9bdae1e2b541de3b3,5
79942,1,,8,c168fc19291373193761,
79950,,1,53,d6b3439e0e87cad426f3,
80008,1,,60,ee301450b226fb0f6b92,456
80026,1,,60,70a42cf3e060c3cca8e6,280
80080,1,,5,d6b3439e0e87cad426f3,
80077,,1,55,28cd31cb0e36055c81da,459
80093,1,,61,ad7e5c54b7c066f87412,72
80118,1,,47,2a2e4c69aea6f174d68e,199
80213,,1,10,aa913018a9a7bad95d58,
80219,,1,51,be03f3455378ce347456,315
80246,1,,21,0c868e8ca22b07efc39d,228
80284,,1,8,c168fc19291373193761,
80286,,1,7,76845e777904bf4892e7,
80321,1,,11,c168fc19291373193761,
80373,1,,16,0c868e8ca22b07efc39d,
80369,1,,70,0d210c819af888df135d,301
80371,,1,65,f9180d9208a3ee1c8798,335
80384,,1,49,dff2e4843bbf7e0c73f4,294
80412,1,,9,0d210c819af888df135d,
80466,,1,105,9140a5788b90c4ab872b,246
80500,,1,97,51d2fa7d46020369f800,131
80527,,1,175,e7a061b28ff718e19efb,382
80579,,1,21,1531c8101d91ff3cc2f9,1
80596,1,,54,b22896ed002a969dd508,
80591,1,,102,3397ee4601afe3baf761,
80605,,1,11,b22896ed002a969dd508,
80612,1,,6,3397ee4601afe3baf761,
80649,,1,42,85394033d54f5b778b5a,20
80661,,1,6,b22896ed002a969dd508,
80695,1,,12,51d2fa7d46020369f800,
80726,1,,65,99b0f09ed6fecfcdcda8,
80772,,1,66,590a3111051480e29005,186
80834,,1,7,0c868e8ca22b07efc39d,
80874,1,,53,1a20358f15647b55ef53,101
